response_id,version,trial_position,loop_num,stem_id,stakes,att_level,correctness,trust,reliance,consequence
R_3oEGh8Bi7zPI65g,5,1,38,7,low,strong,correct,6 Trust,Verify before taking action or using the information.,3
R_3oEGh8Bi7zPI65g,5,2,39,8,low,strong,incorrect,6 Trust,Verify before taking action or using the information.,4
R_3oEGh8Bi7zPI65g,5,3,40,9,low,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,2
R_3oEGh8Bi7zPI65g,5,4,41,10,low,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_3oEGh8Bi7zPI65g,5,5,42,11,low,weak,correct,6 Trust,Verify before taking action or using the information.,2
R_3oEGh8Bi7zPI65g,5,6,43,12,low,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_3oEGh8Bi7zPI65g,5,7,44,1,high,strong,correct,6 Trust,Verify before taking action or using the information.,4
R_3oEGh8Bi7zPI65g,5,8,45,2,high,strong,incorrect,6 Trust,Verify before taking action or using the information.,4
R_3oEGh8Bi7zPI65g,5,9,46,3,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_3oEGh8Bi7zPI65g,5,10,47,4,high,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_3oEGh8Bi7zPI65g,5,11,48,5,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,3
R_3oEGh8Bi7zPI65g,5,12,49,6,high,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3GCkKkrCvtCn01J,4,1,26,7,low,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_3GCkKkrCvtCn01J,4,2,27,8,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,2
R_3GCkKkrCvtCn01J,4,3,28,9,low,strong,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,2
R_3GCkKkrCvtCn01J,4,4,29,10,low,none,correct,6 Trust,Verify before taking action or using the information.,4
R_3GCkKkrCvtCn01J,4,5,30,11,low,none,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_3GCkKkrCvtCn01J,4,6,31,12,low,weak,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_3GCkKkrCvtCn01J,4,7,32,1,high,weak,incorrect,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3GCkKkrCvtCn01J,4,8,33,2,high,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,3
R_3GCkKkrCvtCn01J,4,9,34,3,high,strong,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,3
R_3GCkKkrCvtCn01J,4,10,35,4,high,none,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3GCkKkrCvtCn01J,4,11,36,5,high,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_3GCkKkrCvtCn01J,4,12,37,6,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_2dKqdcQ1pWQWaM0,1,1,1,7,low,none,correct,3 Slightly Distrust,Verify before taking action or using the information.,1 (Not serious at all)
R_2dKqdcQ1pWQWaM0,1,2,2,8,low,none,incorrect,4 (Neither trust nor distrust),Verify before taking action or using the information.,4
R_2dKqdcQ1pWQWaM0,1,3,3,9,low,weak,correct,6 Trust,Verify before taking action or using the information.,1 (Not serious at all)
R_2dKqdcQ1pWQWaM0,1,4,4,10,low,weak,incorrect,6 Trust,Verify before taking action or using the information.,4
R_2dKqdcQ1pWQWaM0,1,5,5,11,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_2dKqdcQ1pWQWaM0,1,6,6,12,low,strong,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_2dKqdcQ1pWQWaM0,1,7,7,1,high,none,correct,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_2dKqdcQ1pWQWaM0,1,8,8,2,high,none,incorrect,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_2dKqdcQ1pWQWaM0,1,9,9,3,high,weak,correct,6 Trust,Use the information or take the recommended action (do not double-check).,4
R_2dKqdcQ1pWQWaM0,1,10,10,4,high,weak,incorrect,4 (Neither trust nor distrust),Verify before taking action or using the information.,4
R_2dKqdcQ1pWQWaM0,1,11,11,5,high,strong,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_2dKqdcQ1pWQWaM0,1,12,12,6,high,strong,incorrect,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3KIXgicq5IPiEBc,6,1,50,7,low,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_3KIXgicq5IPiEBc,6,2,51,8,low,none,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3KIXgicq5IPiEBc,6,3,52,9,low,none,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_3KIXgicq5IPiEBc,6,4,53,10,low,weak,correct,6 Trust,Verify before taking action or using the information.,4
R_3KIXgicq5IPiEBc,6,5,54,11,low,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_3KIXgicq5IPiEBc,6,6,55,12,low,strong,correct,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,3
R_3KIXgicq5IPiEBc,6,7,56,1,high,strong,incorrect,6 Trust,Verify before taking action or using the information.,4
R_3KIXgicq5IPiEBc,6,8,57,2,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_3KIXgicq5IPiEBc,6,9,58,3,high,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_3KIXgicq5IPiEBc,6,10,59,4,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3KIXgicq5IPiEBc,6,11,60,5,high,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_3KIXgicq5IPiEBc,6,12,61,6,high,strong,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_qDTnJu2XEBjpKHD,3,1,14,7,low,weak,correct,2 Distrust,Verify before taking action or using the information.,3
R_qDTnJu2XEBjpKHD,3,2,15,8,low,weak,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,4
R_qDTnJu2XEBjpKHD,3,3,16,9,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_qDTnJu2XEBjpKHD,3,4,17,10,low,strong,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,3
R_qDTnJu2XEBjpKHD,3,5,18,11,low,none,correct,5 Slightly Trust,Verify before taking action or using the information.,2
R_qDTnJu2XEBjpKHD,3,6,19,12,low,none,incorrect,6 Trust,Verify before taking action or using the information.,2
R_qDTnJu2XEBjpKHD,3,7,20,1,high,weak,correct,6 Trust,Verify before taking action or using the information.,4
R_qDTnJu2XEBjpKHD,3,8,21,2,high,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,4
R_qDTnJu2XEBjpKHD,3,9,22,3,high,strong,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_qDTnJu2XEBjpKHD,3,10,23,4,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,4
R_qDTnJu2XEBjpKHD,3,11,24,5,high,none,correct,3 Slightly Distrust,Verify before taking action or using the information.,4
R_qDTnJu2XEBjpKHD,3,12,25,6,high,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_cTpmO7KxUvGnbk5,5,1,38,7,low,strong,correct,2 Distrust,Verify before taking action or using the information.,2
R_cTpmO7KxUvGnbk5,5,2,39,8,low,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,4
R_cTpmO7KxUvGnbk5,5,3,40,9,low,none,correct,2 Distrust,Verify before taking action or using the information.,2
R_cTpmO7KxUvGnbk5,5,4,41,10,low,none,incorrect,2 Distrust,Verify before taking action or using the information.,4
R_cTpmO7KxUvGnbk5,5,5,42,11,low,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_cTpmO7KxUvGnbk5,5,6,43,12,low,weak,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_cTpmO7KxUvGnbk5,5,7,44,1,high,strong,correct,2 Distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_cTpmO7KxUvGnbk5,5,8,45,2,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_cTpmO7KxUvGnbk5,5,9,46,3,high,none,correct,4 Neither trust nor distrust,Use the information or take the recommended action (do not double-check).,2
R_cTpmO7KxUvGnbk5,5,10,47,4,high,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,2
R_cTpmO7KxUvGnbk5,5,11,48,5,high,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_cTpmO7KxUvGnbk5,5,12,49,6,high,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_2CjIUPGXWDJMwDj,4,1,26,7,low,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,2
R_2CjIUPGXWDJMwDj,4,2,27,8,low,strong,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,2
R_2CjIUPGXWDJMwDj,4,3,28,9,low,strong,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,2
R_2CjIUPGXWDJMwDj,4,4,29,10,low,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_2CjIUPGXWDJMwDj,4,5,30,11,low,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,1 (Not serious at all)
R_2CjIUPGXWDJMwDj,4,6,31,12,low,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,1 (Not serious at all)
R_2CjIUPGXWDJMwDj,4,7,32,1,high,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_2CjIUPGXWDJMwDj,4,8,33,2,high,strong,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_2CjIUPGXWDJMwDj,4,9,34,3,high,strong,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_2CjIUPGXWDJMwDj,4,10,35,4,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_2CjIUPGXWDJMwDj,4,11,36,5,high,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_2CjIUPGXWDJMwDj,4,12,37,6,high,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_1BY2l6H77apIgLE,3,1,14,7,low,weak,correct,3 Slightly Distrust,Verify before taking action or using the information.,2
R_1BY2l6H77apIgLE,3,2,15,8,low,weak,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,3
R_1BY2l6H77apIgLE,3,3,16,9,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_1BY2l6H77apIgLE,3,4,17,10,low,strong,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,4
R_1BY2l6H77apIgLE,3,5,18,11,low,none,correct,6 Trust,Use the information or take the recommended action (do not double-check).,2
R_1BY2l6H77apIgLE,3,6,19,12,low,none,incorrect,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,2
R_1BY2l6H77apIgLE,3,7,20,1,high,weak,correct,3 Slightly Distrust,Verify before taking action or using the information.,3
R_1BY2l6H77apIgLE,3,8,21,2,high,weak,incorrect,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,4
R_1BY2l6H77apIgLE,3,9,22,3,high,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,4
R_1BY2l6H77apIgLE,3,10,23,4,high,strong,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,4
R_1BY2l6H77apIgLE,3,11,24,5,high,none,correct,2 Distrust,Reject — do not use the information or take the recommended action.,4
R_1BY2l6H77apIgLE,3,12,25,6,high,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,4
R_3CNGUHoB8B6URqE,6,1,50,7,low,strong,incorrect,2 Distrust,Verify before taking action or using the information.,4
R_3CNGUHoB8B6URqE,6,2,51,8,low,none,correct,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,4
R_3CNGUHoB8B6URqE,6,3,52,9,low,none,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,2
R_3CNGUHoB8B6URqE,6,4,53,10,low,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_3CNGUHoB8B6URqE,6,5,54,11,low,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,2
R_3CNGUHoB8B6URqE,6,6,55,12,low,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_3CNGUHoB8B6URqE,6,7,56,1,high,strong,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,5 (Extremely serious)
R_3CNGUHoB8B6URqE,6,8,57,2,high,none,correct,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,5 (Extremely serious)
R_3CNGUHoB8B6URqE,6,9,58,3,high,none,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_3CNGUHoB8B6URqE,6,10,59,4,high,weak,correct,6 Trust,Use the information or take the recommended action (do not double-check).,5 (Extremely serious)
R_3CNGUHoB8B6URqE,6,11,60,5,high,weak,incorrect,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_3CNGUHoB8B6URqE,6,12,61,6,high,strong,correct,7 Strongly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_8dprpdV5cwlJSSZ,6,1,50,7,low,strong,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_8dprpdV5cwlJSSZ,6,2,51,8,low,none,correct,2 Distrust,Verify before taking action or using the information.,3
R_8dprpdV5cwlJSSZ,6,3,52,9,low,none,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_8dprpdV5cwlJSSZ,6,4,53,10,low,weak,correct,2 Distrust,Verify before taking action or using the information.,4
R_8dprpdV5cwlJSSZ,6,5,54,11,low,weak,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,2
R_8dprpdV5cwlJSSZ,6,6,55,12,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_8dprpdV5cwlJSSZ,6,7,56,1,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_8dprpdV5cwlJSSZ,6,8,57,2,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_8dprpdV5cwlJSSZ,6,9,58,3,high,none,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,2
R_8dprpdV5cwlJSSZ,6,10,59,4,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_8dprpdV5cwlJSSZ,6,11,60,5,high,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_8dprpdV5cwlJSSZ,6,12,61,6,high,strong,correct,5 Slightly Trust,Verify before taking action or using the information.,4
